# WAVELENGTH   FLUX           
  1150.0       2.298837E-12   
  1155.0       1.4980146E-11  
  1160.0       9.72781E-12    
  1165.0       1.2361363E-12  
  1170.0       0.0            
  1175.0       3.3735295E-12  
  1180.0       2.0155445E-11  
  1185.0       3.3450601E-12  
  1190.0       0.0            
  1195.0       0.0            
  1200.0       1.3219236E-12  
  1205.0       1.1598617E-11  
  1210.0       3.1691094E-11  
  1215.0       5.7385444E-11  
  1220.0       3.4219474E-11  
  1225.0       6.55637E-12    
  1230.0       2.4265837E-12  
  1235.0       1.5247189E-11  
  1240.0       2.0994312E-11  
  1245.0       1.0172065E-11  
  1250.0       1.3829332E-11  
  1255.0       7.862361E-12   
  1260.0       6.5155225E-12  
  1265.0       3.3294984E-12  
  1270.0       2.3255445E-12  
  1275.0       2.2739738E-12  
  1280.0       2.7668054E-12  
  1285.0       4.160189E-13   
  1290.0       0.0            
  1295.0       0.0            
  1300.0       0.0            
  1305.0       0.0            
  1310.0       0.0            
  1315.0       0.0            
  1320.0       0.0            
  1325.0       4.984608E-13   
  1330.0       4.1340156E-12  
  1335.0       8.071287E-12   
  1340.0       5.988601E-12   
  1345.0       5.9410385E-12  
  1350.0       4.3320434E-12  
  1355.0       5.847473E-12   
  1360.0       5.240427E-12   
  1365.0       3.4197963E-12  
  1370.0       8.063516E-12   
  1375.0       4.7119535E-12  
  1380.0       4.3643656E-12  
  1385.0       1.665284E-12   
  1390.0       6.0913397E-12  
  1395.0       1.0115838E-12  
  1400.0       2.575892E-13   
  1405.0       2.330496E-12   
  1410.0       7.04149E-12    
  1415.0       1.3558814E-11  
  1420.0       4.789282E-12   
  1425.0       4.557309E-13   
  1430.0       4.8017704E-13  
  1435.0       3.3188931E-12  
  1440.0       5.6174904E-12  
  1445.0       1.8093802E-11  
  1450.0       2.2129848E-11  
  1455.0       1.661333E-11   
  1460.0       6.3955837E-12  
  1465.0       8.171901E-12   
  1470.0       1.1834411E-11  
  1475.0       1.3579979E-11  
  1480.0       1.5532712E-11  
  1485.0       2.124991E-11   
  1490.0       1.8100715E-11  
  1495.0       2.2161205E-11  
  1500.0       2.2181167E-11  
  1505.0       2.4091142E-11  
  1510.0       2.8447992E-11  
  1515.0       2.4916853E-11  
  1520.0       1.0906532E-11  
  1525.0       1.4296881E-11  
  1530.0       1.9859739E-11  
  1535.0       2.8238818E-11  
  1540.0       3.7713326E-11  
  1545.0       4.427454E-11   
  1550.0       3.7804822E-11  
  1555.0       4.549886E-11   
  1560.0       5.979302E-11   
  1565.0       5.842601E-11   
  1570.0       5.358227E-11   
  1575.0       7.0056E-11     
  1580.0       8.946611E-11   
  1585.0       7.099911E-11   
  1590.0       6.893233E-11   
  1595.0       8.289706E-11   
  1600.0       9.0905054E-11  
  1605.0       9.343622E-11   
  1610.0       1.0753929E-10  
  1615.0       1.2708812E-10  
  1620.0       1.331037E-10   
  1625.0       1.3502856E-10  
  1630.0       1.5234383E-10  
  1635.0       1.903938E-10   
  1640.0       2.3296381E-10  
  1645.0       2.6894392E-10  
  1650.0       2.5435234E-10  
  1655.0       2.2545134E-10  
  1660.0       2.8676383E-10  
  1665.0       3.232015E-10   
  1670.0       3.0631875E-10  
  1675.0       3.6411946E-10  
  1680.0       4.0644715E-10  
  1685.0       4.141583E-10   
  1690.0       4.5781606E-10  
  1695.0       5.151437E-10   
  1700.0       6.368726E-10   
  1705.0       7.9938495E-10  
  1710.0       9.259688E-10   
  1715.0       1.0120297E-9   
  1720.0       1.0061453E-9   
  1725.0       1.0719572E-9   
  1730.0       1.1791385E-9   
  1735.0       1.1757785E-9   
  1740.0       1.2046869E-9   
  1745.0       1.3210892E-9   
  1750.0       1.4824578E-9   
  1755.0       1.538716E-9    
  1760.0       1.423117E-9    
  1765.0       1.3663187E-9   
  1770.0       1.533465E-9    
  1775.0       1.7557843E-9   
  1780.0       1.7940476E-9   
  1785.0       1.6691787E-9   
  1790.0       1.7296008E-9   
  1795.0       1.9591049E-9   
  1800.0       1.9643236E-9   
  1805.0       1.7991708E-9   
  1810.0       1.7597231E-9   
  1815.0       1.8363414E-9   
  1820.0       1.8772985E-9   
  1825.0       1.8289047E-9   
  1830.0       1.7231792E-9   
  1835.0       1.6039805E-9   
  1840.0       1.485974E-9    
  1845.0       1.4292746E-9   
  1850.0       1.4440908E-9   
  1855.0       1.5129912E-9   
  1860.0       1.5888283E-9   
  1865.0       1.6747999E-9   
  1870.0       1.7304029E-9   
  1875.0       1.7486013E-9   
  1880.0       1.8093681E-9   
  1885.0       1.8490153E-9   
  1890.0       1.8232617E-9   
  1895.0       1.7210038E-9   
  1900.0       1.6470998E-9   
  1905.0       1.700669E-9    
  1910.0       1.7749483E-9   
  1915.0       1.8509692E-9   
  1920.0       1.8471217E-9   
  1925.0       1.6565382E-9   
  1930.0       1.4819324E-9   
  1935.0       1.590419E-9    
  1940.0       1.8732815E-9   
  1945.0       2.0223114E-9   
  1950.0       2.0195405E-9   
  1955.0       1.9954465E-9   
  1960.0       1.951501E-9    
  1965.0       1.9685067E-9   
  1970.0       2.0535091E-9   
  1975.0       2.0278488E-9   
  1980.0       2.0270026E-9   
  1985.0       1.952683E-9    
  1990.0       1.7153E-9      
  1995.0       1.6912132E-9   
  2000.0       1.8109048E-9   
  2005.0       1.8155683E-9   
  2010.0       1.7881839E-9   
  2015.0       1.7290098E-9   
  2020.0       1.6968471E-9   
  2025.0       1.7196895E-9   
  2030.0       1.8269107E-9   
  2035.0       1.8981559E-9   
  2040.0       1.8796107E-9   
  2045.0       1.9875674E-9   
  2050.0       2.0403594E-9   
  2055.0       2.060042E-9    
  2060.0       1.984623E-9    
  2065.0       1.9851427E-9   
  2070.0       2.0843665E-9   
  2075.0       2.1574975E-9   
  2080.0       2.2907927E-9   
  2085.0       2.273121E-9    
  2090.0       2.1692288E-9   
  2095.0       2.095804E-9    
  2100.0       2.0356967E-9   
  2105.0       2.0114748E-9   
  2110.0       1.9821416E-9   
  2115.0       1.9485182E-9   
  2120.0       2.1149562E-9   
  2125.0       2.1789632E-9   
  2130.0       1.9476911E-9   
  2135.0       1.6293855E-9   
  2140.0       1.5238076E-9   
  2145.0       1.6775572E-9   
  2150.0       1.7456669E-9   
  2155.0       1.7560937E-9   
  2160.0       1.7305368E-9   
  2165.0       1.6759385E-9   
  2170.0       1.6664654E-9   
  2175.0       1.5981878E-9   
  2180.0       1.6907091E-9   
  2185.0       1.8667585E-9   
  2190.0       1.9751347E-9   
  2195.0       2.0539308E-9   
  2200.0       2.07929E-9     
  2205.0       2.0093587E-9   
  2210.0       1.747955E-9    
  2215.0       1.5100049E-9   
  2220.0       1.525699E-9    
  2225.0       1.5900959E-9   
  2230.0       1.6467268E-9   
  2235.0       1.754999E-9    
  2240.0       1.7962634E-9   
  2245.0       1.7120331E-9   
  2250.0       1.609299E-9    
  2255.0       1.5500908E-9   
  2260.0       1.5360059E-9   
  2265.0       1.5763728E-9   
  2270.0       1.5617807E-9   
  2275.0       1.5938179E-9   
  2280.0       1.6494945E-9   
  2285.0       1.765564E-9    
  2290.0       1.7387912E-9   
