# WAVELENGTH   FLUX           
  1150.0       8.797398E-12   
  1155.0       8.720237E-12   
  1160.0       4.8213105E-12  
  1165.0       3.104548E-12   
  1170.0       3.1326185E-12  
  1175.0       2.916828E-12   
  1180.0       1.70971E-12    
  1185.0       1.2195565E-12  
  1190.0       9.115247E-13   
  1195.0       5.020683E-12   
  1200.0       2.4772915E-11  
  1205.0       1.1551685E-10  
  1210.0       2.6958405E-10  
  1215.0       3.0338554E-10  
  1220.0       1.5577997E-10  
  1225.0       3.518063E-11   
  1230.0       4.881143E-12   
  1235.0       1.8846404E-12  
  1240.0       1.7654274E-12  
  1245.0       1.4063751E-12  
  1250.0       8.900522E-13   
  1255.0       5.416E-13      
  1260.0       5.358793E-13   
  1265.0       5.354082E-13   
  1270.0       5.918794E-13   
  1275.0       8.603707E-13   
  1280.0       1.0603882E-12  
  1285.0       9.093563E-13   
  1290.0       6.728977E-13   
  1295.0       8.1379684E-13  
  1300.0       1.5678554E-12  
  1305.0       1.9423792E-12  
  1310.0       1.0150357E-12  
  1315.0       4.9290796E-13  
  1320.0       3.98762E-13    
  1325.0       6.2442206E-13  
  1330.0       1.4251302E-12  
  1335.0       2.3271613E-12  
  1340.0       1.0841688E-12  
  1345.0       2.8294324E-13  
  1350.0       1.177355E-13   
  1355.0       4.4032494E-13  
  1360.0       6.3173387E-13  
  1365.0       5.8388683E-13  
  1370.0       4.649853E-13   
  1375.0       5.063414E-13   
  1380.0       4.4224647E-13  
  1385.0       4.606802E-13   
  1390.0       9.101024E-13   
  1395.0       1.4165709E-12  
  1400.0       1.3477784E-12  
  1405.0       1.346255E-12   
  1410.0       8.7964575E-13  
  1415.0       5.1252877E-13  
  1420.0       5.1329514E-13  
  1425.0       7.795054E-13   
  1430.0       9.517695E-13   
  1435.0       7.192123E-13   
  1440.0       8.108074E-13   
  1445.0       1.1109761E-12  
  1450.0       1.2256431E-12  
  1455.0       1.0564394E-12  
  1460.0       7.0474713E-13  
  1465.0       1.0244483E-12  
  1470.0       1.4359486E-12  
  1475.0       1.1122679E-12  
  1480.0       9.602562E-13   
  1485.0       1.6043844E-12  
  1490.0       1.8419322E-12  
  1495.0       1.7317644E-12  
  1500.0       1.3452534E-12  
  1505.0       1.1489555E-12  
  1510.0       1.351052E-12   
  1515.0       1.2387515E-12  
  1520.0       1.2329484E-12  
  1525.0       1.3749983E-12  
  1530.0       2.0465615E-12  
  1535.0       1.9901461E-12  
  1540.0       1.91892E-12    
  1545.0       3.647305E-12   
  1550.0       4.1375557E-12  
  1555.0       2.105284E-12   
  1560.0       1.2808302E-12  
  1565.0       1.2246678E-12  
  1570.0       1.064482E-12   
  1575.0       1.3325944E-12  
  1580.0       1.469929E-12   
  1585.0       1.2294741E-12  
  1590.0       8.9993806E-13  
  1595.0       9.683435E-13   
  1600.0       1.2226025E-12  
