# WAVELENGTH   FLUX           
  1150.0       0.0            
  1155.0       0.0            
  1160.0       0.0            
  1165.0       0.0            
  1170.0       0.0            
  1175.0       0.0            
  1180.0       0.0            
  1185.0       0.0            
  1190.0       0.0            
  1195.0       0.0            
  1200.0       0.0            
  1205.0       0.0            
  1210.0       0.0            
  1215.0       0.0            
  1220.0       0.0            
  1225.0       0.0            
  1230.0       0.0            
  1235.0       0.0            
  1240.0       0.0            
  1245.0       0.0            
  1250.0       0.0            
  1255.0       0.0            
  1260.0       0.0            
  1265.0       0.0            
  1270.0       0.0            
  1275.0       0.0            
  1280.0       0.0            
  1285.0       0.0            
  1290.0       0.0            
  1295.0       0.0            
  1300.0       0.0            
  1305.0       0.0            
  1310.0       0.0            
  1315.0       0.0            
  1320.0       0.0            
  1325.0       0.0            
  1330.0       0.0            
  1335.0       0.0            
  1340.0       0.0            
  1345.0       0.0            
  1350.0       0.0            
  1355.0       0.0            
  1360.0       0.0            
  1365.0       0.0            
  1370.0       0.0            
  1375.0       0.0            
  1380.0       0.0            
  1385.0       0.0            
  1390.0       0.0            
  1395.0       0.0            
  1400.0       0.0            
  1405.0       0.0            
  1410.0       0.0            
  1415.0       0.0            
  1420.0       0.0            
  1425.0       0.0            
  1430.0       0.0            
  1435.0       0.0            
  1440.0       0.0            
  1445.0       0.0            
  1450.0       0.0            
  1455.0       0.0            
  1460.0       0.0            
  1465.0       0.0            
  1470.0       0.0            
  1475.0       0.0            
  1480.0       0.0            
  1485.0       0.0            
  1490.0       0.0            
  1495.0       0.0            
  1500.0       0.0            
  1505.0       0.0            
  1510.0       0.0            
  1515.0       0.0            
  1520.0       0.0            
  1525.0       0.0            
  1530.0       0.0            
  1535.0       0.0            
  1540.0       0.0            
  1545.0       0.0            
  1550.0       0.0            
  1555.0       0.0            
  1560.0       0.0            
  1565.0       0.0            
  1570.0       0.0            
  1575.0       0.0            
  1580.0       0.0            
  1585.0       0.0            
  1590.0       0.0            
  1595.0       0.0            
  1600.0       0.0            
  1605.0       0.0            
  1610.0       0.0            
  1615.0       0.0            
  1620.0       0.0            
  1625.0       0.0            
  1630.0       0.0            
  1635.0       0.0            
  1640.0       0.0            
  1645.0       0.0            
  1650.0       0.0            
  1655.0       0.0            
  1660.0       0.0            
  1665.0       0.0            
  1670.0       0.0            
  1675.0       0.0            
  1680.0       0.0            
  1685.0       0.0            
  1690.0       0.0            
  1695.0       0.0            
  1700.0       0.0            
  1705.0       0.0            
  1710.0       0.0            
  1715.0       0.0            
  1720.0       0.0            
  1725.0       0.0            
  1730.0       0.0            
  1735.0       0.0            
  1740.0       0.0            
  1745.0       0.0            
  1750.0       0.0            
  1755.0       0.0            
  1760.0       0.0            
  1765.0       0.0            
  1770.0       0.0            
  1775.0       0.0            
  1780.0       0.0            
  1785.0       0.0            
  1790.0       0.0            
  1795.0       0.0            
  1800.0       0.0            
  1805.0       0.0            
  1810.0       0.0            
  1815.0       0.0            
  1820.0       0.0            
  1825.0       0.0            
  1830.0       0.0            
  1835.0       0.0            
  1840.0       0.0            
  1845.0       0.0            
  1850.0       0.0            
  1855.0       0.0            
  1860.0       0.0            
  1865.0       0.0            
  1870.0       4.599832E-16   
  1875.0       3.2125222E-15  
  1880.0       3.6700557E-15  
  1885.0       3.2100844E-15  
  1890.0       4.5754364E-16  
  1895.0       0.0            
  1900.0       0.0            
  1905.0       0.0            
  1910.0       0.0            
  1915.0       0.0            
  1920.0       0.0            
  1925.0       0.0            
  1930.0       0.0            
  1935.0       0.0            
  1940.0       0.0            
  1945.0       0.0            
  1950.0       4.5993317E-16  
  1955.0       4.132334E-15   
  1960.0       1.1014845E-14  
  1965.0       1.7895038E-14  
  1970.0       2.2022662E-14  
  1975.0       2.5692722E-14  
  1980.0       2.890285E-14   
  1985.0       2.8440615E-14  
  1990.0       2.201574E-14   
  1995.0       1.375582E-14   
  2000.0       1.8304395E-15  
  2005.0       0.0            
  2010.0       0.0            
  2015.0       0.0            
  2020.0       0.0            
  2025.0       0.0            
  2030.0       0.0            
  2035.0       0.0            
  2040.0       0.0            
  2045.0       0.0            
  2050.0       9.197524E-15   
  2055.0       7.482536E-14   
  2060.0       1.5786362E-13  
  2065.0       2.4135514E-13  
  2070.0       3.165823E-13   
  2075.0       3.7070005E-13  
  2080.0       3.9545266E-13  
  2085.0       3.821214E-13   
  2090.0       3.1556786E-13  
  2095.0       1.8891151E-13  
  2100.0       2.4713902E-14  
  2105.0       0.0            
  2110.0       0.0            
  2115.0       0.0            
  2120.0       0.0            
  2125.0       0.0            
  2130.0       0.0            
  2135.0       0.0            
  2140.0       0.0            
  2145.0       0.0            
  2150.0       1.2829096E-13  
  2155.0       1.0562668E-12  
  2160.0       2.3257763E-12  
  2165.0       3.78747E-12    
  2170.0       5.3881344E-12  
  2175.0       7.0727187E-12  
  2180.0       8.783431E-12   
  2185.0       1.0464272E-11  
  2190.0       1.2058388E-11  
  2195.0       1.351484E-11   
  2200.0       1.4775842E-11  
  2205.0       1.5805168E-11  
  2210.0       1.6612456E-11  
  2215.0       1.7225242E-11  
  2220.0       1.7672915E-11  
  2225.0       1.7984347E-11  
  2230.0       1.818705E-11   
  2235.0       1.8314107E-11  
  2240.0       1.838884E-11   
  2245.0       1.8446213E-11  
  2250.0       1.8509055E-11  
  2255.0       1.8604958E-11  
  2260.0       1.8742605E-11  
  2265.0       1.89335E-11    
