# WAVELENGTH   FLUX           
  1150.0       4.4931454E-12  
  1155.0       4.2605214E-11  
  1160.0       9.862492E-11   
  1165.0       1.5627728E-11  
  1170.0       0.0            
  1175.0       0.0            
  1180.0       0.0            
  1185.0       0.0            
  1190.0       0.0            
  1195.0       0.0            
  1200.0       7.8500417E-13  
  1205.0       1.772346E-11   
  1210.0       9.837424E-11   
  1215.0       1.3956816E-10  
  1220.0       7.561564E-11   
  1225.0       3.164968E-11   
  1230.0       1.9436279E-11  
  1235.0       1.7270324E-11  
  1240.0       1.4703898E-11  
  1245.0       6.825193E-12   
  1250.0       1.9345664E-11  
  1255.0       2.1235196E-11  
  1260.0       1.7825632E-11  
  1265.0       1.585581E-11   
  1270.0       1.741307E-11   
  1275.0       1.7779379E-11  
  1280.0       2.0262682E-11  
  1285.0       1.6428069E-11  
  1290.0       1.5148549E-11  
  1295.0       7.6794725E-12  
  1300.0       1.257712E-11   
  1305.0       1.1187113E-11  
  1310.0       1.0437141E-11  
  1315.0       1.1674467E-11  
  1320.0       6.1711647E-12  
  1325.0       5.2638688E-12  
  1330.0       9.242526E-12   
  1335.0       1.0351916E-11  
  1340.0       1.6383601E-11  
  1345.0       1.782141E-11   
  1350.0       1.8932881E-11  
  1355.0       2.659038E-11   
  1360.0       2.0848188E-11  
  1365.0       7.653317E-12   
  1370.0       8.74082E-12    
  1375.0       2.33262E-11    
  1380.0       2.7910362E-11  
  1385.0       1.6128642E-11  
  1390.0       1.1907686E-11  
  1395.0       1.4313454E-11  
  1400.0       1.5487134E-11  
  1405.0       1.6674485E-11  
  1410.0       3.5082935E-12  
  1415.0       6.118275E-12   
  1420.0       1.9454145E-11  
  1425.0       2.4411374E-11  
  1430.0       2.3221865E-11  
  1435.0       2.4951733E-11  
  1440.0       2.6508983E-11  
  1445.0       3.3338863E-11  
  1450.0       3.992606E-11   
  1455.0       3.6952635E-11  
  1460.0       3.2332522E-11  
  1465.0       3.455191E-11   
  1470.0       3.443694E-11   
  1475.0       3.216402E-11   
  1480.0       3.014799E-11   
  1485.0       4.1907807E-11  
  1490.0       4.3853435E-11  
  1495.0       5.1210033E-11  
  1500.0       5.1503187E-11  
  1505.0       4.7904493E-11  
  1510.0       4.4473612E-11  
  1515.0       5.0566447E-11  
  1520.0       6.093672E-11   
  1525.0       6.7493705E-11  
  1530.0       7.933929E-11   
  1535.0       1.03567044E-10 
  1540.0       1.3469116E-10  
  1545.0       1.6894758E-10  
  1550.0       1.863901E-10   
  1555.0       2.0219396E-10  
  1560.0       2.482173E-10   
  1565.0       2.892433E-10   
  1570.0       2.8752423E-10  
  1575.0       3.606578E-10   
  1580.0       4.473305E-10   
  1585.0       4.5620652E-10  
  1590.0       4.2333673E-10  
  1595.0       4.0945472E-10  
  1600.0       4.4824047E-10  
  1605.0       4.782898E-10   
  1610.0       5.143912E-10   
  1615.0       5.4745447E-10  
  1620.0       5.515744E-10   
  1625.0       5.733818E-10   
  1630.0       5.7641014E-10  
  1635.0       6.4577815E-10  
  1640.0       7.435233E-10   
  1645.0       7.94989E-10    
  1650.0       7.274439E-10   
  1655.0       6.383452E-10   
  1660.0       7.577184E-10   
  1665.0       8.6509916E-10  
  1670.0       7.476678E-10   
  1675.0       8.011679E-10   
  1680.0       9.20792E-10    
  1685.0       9.618769E-10   
  1690.0       9.688479E-10   
  1695.0       9.750287E-10   
  1700.0       1.072094E-9    
  1705.0       1.2253629E-9   
  1710.0       1.364226E-9    
  1715.0       1.4566628E-9   
  1720.0       1.4698484E-9   
  1725.0       1.5114395E-9   
  1730.0       1.6329947E-9   
  1735.0       1.6535124E-9   
  1740.0       1.6509534E-9   
  1745.0       1.7293207E-9   
  1750.0       1.898612E-9    
  1755.0       1.9995936E-9   
  1760.0       1.8706745E-9   
  1765.0       1.775126E-9    
  1770.0       1.903456E-9    
  1775.0       2.1065953E-9   
  1780.0       2.1816995E-9   
  1785.0       2.0548996E-9   
  1790.0       2.0836224E-9   
  1795.0       2.3779518E-9   
  1800.0       2.4963278E-9   
  1805.0       2.3817175E-9   
  1810.0       2.3285196E-9   
  1815.0       2.3845037E-9   
  1820.0       2.4328781E-9   
  1825.0       2.4360192E-9   
  1830.0       2.3657443E-9   
  1835.0       2.1908955E-9   
  1840.0       1.9121835E-9   
  1845.0       1.8011688E-9   
  1850.0       1.8123044E-9   
