# WAVELENGTH   FLUX           
  1150.0       1.081777E-11   
  1155.0       9.983192E-12   
  1160.0       5.944246E-12   
  1165.0       3.894488E-12   
  1170.0       2.9130958E-12  
  1175.0       1.7999249E-12  
  1180.0       1.4457623E-12  
  1185.0       8.050196E-13   
  1190.0       1.4564265E-13  
  1195.0       5.351814E-13   
  1200.0       2.3993008E-12  
  1205.0       7.0760077E-12  
  1210.0       2.0078413E-11  
  1215.0       2.8369234E-11  
  1220.0       1.733471E-11   
  1225.0       5.0306348E-12  
  1230.0       1.257038E-12   
  1235.0       8.407958E-13   
  1240.0       8.8814546E-13  
  1245.0       9.107333E-13   
  1250.0       7.51107E-13    
  1255.0       6.2398237E-13  
  1260.0       6.3486597E-13  
  1265.0       4.784228E-13   
  1270.0       4.109988E-13   
  1275.0       7.247745E-13   
  1280.0       9.582237E-13   
  1285.0       1.0111667E-12  
  1290.0       8.2930266E-13  
  1295.0       8.119343E-13   
  1300.0       1.1874261E-12  
  1305.0       1.2710621E-12  
  1310.0       9.61057E-13    
  1315.0       9.085052E-13   
  1320.0       8.4803193E-13  
  1325.0       8.564283E-13   
  1330.0       1.1802052E-12  
  1335.0       1.411557E-12   
  1340.0       1.0077021E-12  
  1345.0       7.6662553E-13  
  1350.0       7.2806355E-13  
  1355.0       6.644204E-13   
  1360.0       6.536269E-13   
  1365.0       7.7635657E-13  
  1370.0       7.812013E-13   
  1375.0       6.7218616E-13  
  1380.0       7.713841E-13   
  1385.0       8.645138E-13   
  1390.0       9.395465E-13   
  1395.0       1.0767576E-12  
  1400.0       1.0475301E-12  
  1405.0       9.334379E-13   
  1410.0       8.8131526E-13  
  1415.0       1.0067583E-12  
  1420.0       9.789587E-13   
  1425.0       1.0072416E-12  
  1430.0       1.1312945E-12  
  1435.0       1.102958E-12   
  1440.0       9.598356E-13   
  1445.0       9.990571E-13   
  1450.0       1.1081551E-12  
  1455.0       1.1903192E-12  
  1460.0       1.1471904E-12  
  1465.0       1.3250334E-12  
  1470.0       1.5113009E-12  
  1475.0       1.5643643E-12  
  1480.0       1.5407674E-12  
  1485.0       1.6248439E-12  
  1490.0       1.6043917E-12  
  1495.0       1.7094463E-12  
  1500.0       1.7565463E-12  
  1505.0       1.5551199E-12  
  1510.0       1.466269E-12   
  1515.0       1.6986644E-12  
  1520.0       1.9440742E-12  
  1525.0       2.1899425E-12  
  1530.0       2.3219237E-12  
  1535.0       2.0268535E-12  
  1540.0       1.9949517E-12  
  1545.0       2.4142136E-12  
  1550.0       2.814806E-12   
  1555.0       2.6780685E-12  
  1560.0       2.2626389E-12  
  1565.0       2.0474805E-12  
  1570.0       2.1885365E-12  
  1575.0       2.3142753E-12  
  1580.0       2.1687094E-12  
  1585.0       2.014212E-12   
  1590.0       1.9033768E-12  
  1595.0       1.903E-12      
  1600.0       1.9821438E-12  
  1605.0       2.1503819E-12  
  1610.0       2.3917172E-12  
  1615.0       2.5082813E-12  
  1620.0       2.2792029E-12  
  1625.0       2.391772E-12   
  1630.0       2.775412E-12   
  1635.0       2.9741706E-12  
  1640.0       2.7564327E-12  
  1645.0       2.8712087E-12  
  1650.0       3.133045E-12   
  1655.0       3.399775E-12   
  1660.0       3.4877286E-12  
  1665.0       3.2562475E-12  
  1670.0       3.071065E-12   
  1675.0       3.351187E-12   
  1680.0       3.4736415E-12  
  1685.0       3.3105654E-12  
  1690.0       3.6418004E-12  
  1695.0       4.2439906E-12  
  1700.0       4.599198E-12   
  1705.0       4.7258417E-12  
  1710.0       4.7036463E-12  
  1715.0       4.9933287E-12  
  1720.0       5.3255117E-12  
  1725.0       5.5190032E-12  
  1730.0       5.5593885E-12  
  1735.0       5.6176756E-12  
  1740.0       5.961519E-12   
  1745.0       6.628429E-12   
  1750.0       7.373283E-12   
  1755.0       7.9454E-12     
  1760.0       8.454837E-12   
  1765.0       8.927147E-12   
  1770.0       9.698185E-12   
  1775.0       1.0633044E-11  
  1780.0       1.1103521E-11  
  1785.0       9.881232E-12   
  1790.0       8.286448E-12   
  1795.0       1.0131137E-11  
  1800.0       1.1467445E-11  
  1805.0       1.2007812E-11  
  1810.0       1.313941E-11   
  1815.0       1.4427412E-11  
  1820.0       1.551602E-11   
  1825.0       1.5793592E-11  
  1830.0       1.543633E-11   
  1835.0       1.5410293E-11  
  1840.0       1.458218E-11   
  1845.0       1.3572195E-11  
  1850.0       1.37263855E-11 
  1855.0       1.5257006E-11  
  1860.0       1.6466682E-11  
  1865.0       1.780671E-11   
  1870.0       1.9654557E-11  
  1875.0       2.3222516E-11  
  1880.0       2.7554991E-11  
  1885.0       2.9905838E-11  
  1890.0       3.2624372E-11  
  1895.0       2.917427E-11   
  1900.0       2.6301052E-11  
  1905.0       3.1263082E-11  
  1910.0       3.5016812E-11  
  1915.0       3.6294426E-11  
  1920.0       3.4896273E-11  
  1925.0       3.2686347E-11  
  1930.0       2.8569268E-11  
  1935.0       2.924983E-11   
  1940.0       3.726012E-11   
  1945.0       4.3316517E-11  
  1950.0       4.1986654E-11  
  1955.0       3.1399106E-11  
  1960.0       2.1897331E-11  
  1965.0       3.114941E-11   
  1970.0       4.14201E-11    
  1975.0       3.3700497E-11  
  1980.0       4.305527E-11   
  1985.0       4.6750343E-11  
  1990.0       3.936637E-11   
  1995.0       5.6183985E-11  
  2000.0       5.9664225E-11  
  2005.0       5.3257045E-11  
  2010.0       6.373784E-11   
  2015.0       7.356403E-11   
  2020.0       6.77112E-11    
  2025.0       7.3569616E-11  
  2030.0       7.5915545E-11  
  2035.0       5.7300574E-11  
  2040.0       6.6984654E-11  
  2045.0       8.068811E-11   
  2050.0       9.53367E-11    
  2055.0       7.86147E-11    
  2060.0       7.2582496E-11  
  2065.0       1.0262154E-10  
  2070.0       1.1649506E-10  
  2075.0       1.1512906E-10  
  2080.0       1.1443969E-10  
  2085.0       1.15009176E-10 
  2090.0       1.140326E-10   
  2095.0       1.258728E-10   
  2100.0       1.5526756E-10  
  2105.0       1.8408942E-10  
  2110.0       1.8861301E-10  
  2115.0       2.0309604E-10  
  2120.0       2.2536799E-10  
  2125.0       2.1361157E-10  
  2130.0       1.8752454E-10  
  2135.0       1.8705971E-10  
  2140.0       1.9708146E-10  
  2145.0       2.114091E-10   
  2150.0       2.1788281E-10  
  2155.0       2.1455923E-10  
  2160.0       1.9586592E-10  
  2165.0       1.8381473E-10  
  2170.0       1.5940234E-10  
  2175.0       1.4708701E-10  
  2180.0       1.6995894E-10  
  2185.0       2.0947251E-10  
  2190.0       2.5590527E-10  
  2195.0       2.7957947E-10  
  2200.0       2.7281236E-10  
  2205.0       2.3817961E-10  
  2210.0       1.9502812E-10  
  2215.0       1.9379563E-10  
  2220.0       2.1146077E-10  
  2225.0       2.3573868E-10  
  2230.0       2.4831492E-10  
  2235.0       2.663992E-10   
  2240.0       2.5896113E-10  
  2245.0       2.4686217E-10  
  2250.0       2.464916E-10   
  2255.0       2.2588803E-10  
  2260.0       1.9790673E-10  
  2265.0       1.7478424E-10  
  2270.0       1.8265563E-10  
  2275.0       2.0403261E-10  
  2280.0       2.2591828E-10  
  2285.0       2.3639002E-10  
  2290.0       2.2957945E-10  
  2295.0       2.1260316E-10  
  2300.0       2.3192162E-10  
  2305.0       2.5214286E-10  
  2310.0       2.4403612E-10  
  2315.0       2.2644414E-10  
  2320.0       2.3277552E-10  
  2325.0       2.4071622E-10  
  2330.0       1.9926445E-10  
  2335.0       1.5555925E-10  
  2340.0       1.3801542E-10  
  2345.0       1.467064E-10   
  2350.0       1.6688712E-10  
  2355.0       1.8206839E-10  
  2360.0       1.7727483E-10  
  2365.0       1.9085493E-10  
  2370.0       1.9973259E-10  
  2375.0       2.0418386E-10  
  2380.0       1.7733259E-10  
  2385.0       1.4121125E-10  
  2390.0       1.3728622E-10  
  2395.0       1.3577882E-10  
  2400.0       1.1844796E-10  
  2405.0       1.14607976E-10 
  2410.0       1.4280563E-10  
  2415.0       2.0018948E-10  
  2420.0       2.6186417E-10  
  2425.0       2.8632385E-10  
  2430.0       2.6898545E-10  
  2435.0       2.6300576E-10  
  2440.0       2.6432606E-10  
  2445.0       2.3965407E-10  
  2450.0       2.1920245E-10  
  2455.0       2.1715617E-10  
  2460.0       2.0994897E-10  
  2465.0       1.9586432E-10  
  2470.0       2.0065119E-10  
  2475.0       1.9631638E-10  
  2480.0       1.8793411E-10  
  2485.0       1.8962097E-10  
  2490.0       2.007185E-10   
  2495.0       2.426983E-10   
  2500.0       2.58877E-10    
  2505.0       2.4304486E-10  
  2510.0       2.0927686E-10  
  2515.0       1.7179343E-10  
  2520.0       1.5703322E-10  
  2525.0       1.6181864E-10  
  2530.0       1.9202365E-10  
  2535.0       2.0518584E-10  
  2540.0       2.0312575E-10  
  2545.0       2.2469918E-10  
  2550.0       2.6069039E-10  
  2555.0       2.8273325E-10  
  2560.0       3.1795494E-10  
  2565.0       3.875032E-10   
  2570.0       4.0261494E-10  
  2575.0       3.5587483E-10  
  2580.0       3.551541E-10   
  2585.0       3.7775422E-10  
  2590.0       3.6916545E-10  
  2595.0       3.1609856E-10  
  2600.0       2.7698063E-10  
  2605.0       2.7473462E-10  
  2610.0       2.8143332E-10  
  2615.0       3.1459604E-10  
  2620.0       3.216224E-10   
  2625.0       3.353975E-10   
  2630.0       4.4181092E-10  
  2635.0       6.091544E-10   
  2640.0       7.214096E-10   
  2645.0       7.2633993E-10  
  2650.0       7.3751244E-10  
  2655.0       7.677408E-10   
  2660.0       7.195904E-10   
  2665.0       7.056119E-10   
  2670.0       7.1838885E-10  
  2675.0       7.2035294E-10  
  2680.0       7.05394E-10    
  2685.0       6.954826E-10   
  2690.0       6.86254E-10    
  2695.0       7.169306E-10   
  2700.0       7.7153983E-10  
  2705.0       7.587805E-10   
  2710.0       6.942842E-10   
  2715.0       6.301735E-10   
  2720.0       6.0770955E-10  
  2725.0       6.4269057E-10  
  2730.0       6.480889E-10   
  2735.0       5.4452737E-10  
  2740.0       4.2824122E-10  
  2745.0       4.1743148E-10  
  2750.0       4.6475385E-10  
  2755.0       5.4597676E-10  
  2760.0       6.2593275E-10  
  2765.0       6.7154016E-10  
  2770.0       6.6641354E-10  
  2775.0       6.1131755E-10  
  2780.0       5.2186405E-10  
  2785.0       4.095931E-10   
  2790.0       3.0247832E-10  
  2795.0       2.431781E-10   
  2800.0       2.5846336E-10  
  2805.0       3.5339529E-10  
  2810.0       5.2405136E-10  
  2815.0       7.3725775E-10  
  2820.0       8.422138E-10   
  2825.0       8.7975577E-10  
  2830.0       9.15752E-10    
  2835.0       9.071946E-10   
  2840.0       8.176888E-10   
  2845.0       6.7718187E-10  
  2850.0       5.9656063E-10  
  2855.0       7.400702E-10   
  2860.0       9.486634E-10   
  2865.0       1.0163422E-9   
  2870.0       9.953446E-10   
  2875.0       9.36986E-10    
  2880.0       9.510168E-10   
  2885.0       1.0628787E-9   
  2890.0       1.2210337E-9   
  2895.0       1.4050647E-9   
  2900.0       1.5274879E-9   
  2905.0       1.5432408E-9   
  2910.0       1.5455836E-9   
  2915.0       1.5057161E-9   
  2920.0       1.3800283E-9   
  2925.0       1.3076659E-9   
  2930.0       1.3552981E-9   
  2935.0       1.390198E-9    
  2940.0       1.3913058E-9   
  2945.0       1.3915941E-9   
  2950.0       1.4285558E-9   
  2955.0       1.4968073E-9   
  2960.0       1.4692891E-9   
  2965.0       1.3911983E-9   
  2970.0       1.3995243E-9   
  2975.0       1.4380542E-9   
  2980.0       1.2949608E-9   
  2985.0       1.2541386E-9   
  2990.0       1.3324545E-9   
  2995.0       1.2657663E-9   
  3000.0       1.1867177E-9   
  3005.0       1.2336215E-9   
  3010.0       1.3024605E-9   
  3015.0       1.2905712E-9   
  3020.0       1.3526629E-9   
  3025.0       1.4782457E-9   
  3030.0       1.5112757E-9   
  3035.0       1.473177E-9    
  3040.0       1.4678667E-9   
  3045.0       1.5294007E-9   
  3050.0       1.5364361E-9   
  3055.0       1.4293385E-9   
  3060.0       1.3720185E-9   
  3065.0       1.4196785E-9   
  3070.0       1.4906655E-9   
  3075.0       1.5127217E-9   
  3080.0       1.5531989E-9   
  3085.0       1.5081288E-9   
  3090.0       1.3889914E-9   
  3095.0       1.3414589E-9   
  3100.0       1.4535527E-9   
  3105.0       1.6347875E-9   
  3110.0       1.7189631E-9   
  3115.0       1.6316526E-9   
  3120.0       1.6007833E-9   
  3125.0       1.641026E-9    
  3130.0       1.6835976E-9   
  3135.0       1.7385686E-9   
  3140.0       1.6979662E-9   
  3145.0       1.6671043E-9   
  3150.0       1.692683E-9    
  3155.0       1.5697769E-9   
  3160.0       1.5407036E-9   
  3165.0       1.6276976E-9   
  3170.0       1.7303898E-9   
  3175.0       1.7523861E-9   
  3180.0       1.7332341E-9   
  3185.0       1.7649288E-9   
  3190.0       1.8002912E-9   
  3195.0       1.8163072E-9   
  3200.0       1.8267541E-9   
  3205.0       1.8503297E-9   
  3210.0       1.8438461E-9   
  3215.0       1.7755454E-9   
  3220.0       1.6825464E-9   
  3225.0       1.6164181E-9   
  3230.0       1.5975751E-9   
  3235.0       1.6294137E-9   
  3240.0       1.7029222E-9   
  3245.0       1.8024258E-9   
  3250.0       1.9060569E-9   
  3255.0       1.9968824E-9   
  3260.0       2.0749806E-9   
  3265.0       2.1281334E-9   
  3270.0       2.1002065E-9   
  3275.0       1.9813744E-9   
  3280.0       1.9217459E-9   
  3285.0       2.0411572E-9   
  3290.0       2.2221898E-9   
  3295.0       2.3119422E-9   
  3300.0       2.3050382E-9   
  3305.0       2.2537472E-9   
  3310.0       2.2067557E-9   
  3315.0       2.1885742E-9   
  3320.0       2.1705258E-9   
  3325.0       2.1270947E-9   
  3330.0       2.0920068E-9   
  3335.0       2.1026412E-9   
  3340.0       2.144874E-9    
  3345.0       2.184182E-9    
  3350.0       2.1866564E-9   
  3355.0       2.1367474E-9   
  3360.0       2.0652742E-9   
  3365.0       2.0159396E-9   
  3370.0       2.0188333E-9   
  3375.0       2.0776347E-9   
  3380.0       2.1428723E-9   
  3385.0       2.1707725E-9   
  3390.0       2.1835092E-9   
  3395.0       2.2092932E-9   
  3400.0       2.2264621E-9   
  3405.0       2.2106863E-9   
  3410.0       2.181784E-9    
  3415.0       2.1669446E-9   
  3420.0       2.1662185E-9   
  3425.0       2.1607183E-9   
  3430.0       2.1128876E-9   
  3435.0       2.01207E-9     
  3440.0       1.9336428E-9   
  3445.0       1.9464805E-9   
  3450.0       2.0165474E-9   
  3455.0       2.081776E-9    
  3460.0       2.1119448E-9   
  3465.0       2.1016549E-9   
  3470.0       2.0750721E-9   
  3475.0       2.0531525E-9   
  3480.0       2.0222222E-9   
  3485.0       1.9768995E-9   
  3490.0       1.9670605E-9   
  3495.0       2.0371647E-9   
  3500.0       2.1600917E-9   
  3505.0       2.2726068E-9   
  3510.0       2.2997602E-9   
  3515.0       2.2950435E-9   
  3520.0       2.235082E-9    
  3525.0       2.2089426E-9   
  3530.0       2.3017785E-9   
  3535.0       2.4219713E-9   
  3540.0       2.5097013E-9   
  3545.0       2.5379134E-9   
  3550.0       2.510592E-9    
  3555.0       2.4452411E-9   
  3560.0       2.3626139E-9   
  3565.0       2.2099047E-9   
  3570.0       2.0811879E-9   
  3575.0       2.026189E-9    
  3580.0       1.9459725E-9   
  3585.0       1.9333872E-9   
  3590.0       2.106197E-9    
  3595.0       2.2959155E-9   
  3600.0       2.3266422E-9   
  3605.0       2.2223339E-9   
  3610.0       2.153042E-9    
  3615.0       2.1607884E-9   
  3620.0       2.213853E-9    
  3625.0       2.3457474E-9   
  3630.0       2.331629E-9    
  3635.0       2.3029987E-9   
  3640.0       2.377136E-9    
  3645.0       2.366166E-9    
  3650.0       2.4234104E-9   
  3655.0       2.605811E-9    
  3660.0       2.7134501E-9   
  3665.0       2.6746074E-9   
  3670.0       2.628432E-9    
  3675.0       2.5993159E-9   
  3680.0       2.530393E-9    
  3685.0       2.519074E-9    
  3690.0       2.604851E-9    
  3695.0       2.7133071E-9   
  3700.0       2.7194214E-9   
  3705.0       2.5738558E-9   
  3710.0       2.6032945E-9   
  3715.0       2.7001126E-9   
  3720.0       2.560005E-9    
  3725.0       2.520371E-9    
  3730.0       2.4513271E-9   
  3735.0       2.293808E-9    
  3740.0       2.3736269E-9   
  3745.0       2.3312632E-9   
  3750.0       2.3543658E-9   
  3755.0       2.599269E-9    
  3760.0       2.6536422E-9   
  3765.0       2.6505549E-9   
  3770.0       2.704004E-9    
  3775.0       2.9611895E-9   
  3780.0       3.1996825E-9   
  3785.0       3.133131E-9    
  3790.0       2.8480838E-9   
  3795.0       2.6519429E-9   
  3800.0       2.7819598E-9   
  3805.0       3.0847462E-9   
  3810.0       3.1594267E-9   
  3815.0       2.9514646E-9   
  3820.0       2.6994393E-9   
  3825.0       2.4070688E-9   
  3830.0       2.1306448E-9   
  3835.0       2.029183E-9    
  3840.0       2.3303388E-9   
  3845.0       2.8195362E-9   
  3850.0       3.0695415E-9   
  3855.0       3.0518947E-9   
  3860.0       3.0310854E-9   
  3865.0       3.118908E-9    
  3870.0       3.0396567E-9   
  3875.0       2.9269849E-9   
  3880.0       2.7713216E-9   
  3885.0       2.5615619E-9   
  3890.0       2.5760614E-9   
  3895.0       2.842159E-9    
  3900.0       3.0148715E-9   
  3905.0       3.1021474E-9   
  3910.0       3.2234977E-9   
  3915.0       3.192194E-9    
  3920.0       2.9181748E-9   
  3925.0       2.3769313E-9   
  3930.0       1.6997377E-9   
  3935.0       1.5795262E-9   
  3940.0       2.1363051E-9   
  3945.0       2.7042761E-9   
  3950.0       3.0223628E-9   
  3955.0       2.9991434E-9   
  3960.0       2.5603883E-9   
  3965.0       1.9166866E-9   
  3970.0       1.8274997E-9   
  3975.0       2.5016826E-9   
  3980.0       3.1791332E-9   
  3985.0       3.5136931E-9   
  3990.0       3.6688983E-9   
  3995.0       3.741732E-9    
  4000.0       3.785312E-9    
  4005.0       3.8101122E-9   
  4010.0       3.8884638E-9   
  4015.0       3.9589807E-9   
  4020.0       4.0001087E-9   
  4025.0       3.978031E-9    
  4030.0       3.877822E-9    
  4035.0       3.89272E-9     
  4040.0       3.9116492E-9   
  4045.0       3.8165178E-9   
  4050.0       3.8381454E-9   
  4055.0       3.7823416E-9   
  4060.0       3.708002E-9    
  4065.0       3.6953092E-9   
  4070.0       3.7116479E-9   
  4075.0       3.6952075E-9   
  4080.0       3.752948E-9    
  4085.0       3.876871E-9    
  4090.0       3.8532093E-9   
  4095.0       3.5434111E-9   
  4100.0       3.227185E-9    
  4105.0       3.369602E-9    
  4110.0       3.714261E-9    
  4115.0       3.9181502E-9   
  4120.0       3.9513077E-9   
  4125.0       3.930117E-9    
  4130.0       3.9062305E-9   
  4135.0       3.9757047E-9   
  4140.0       4.040836E-9    
  4145.0       4.019819E-9    
  4150.0       3.9822883E-9   
  4155.0       3.9577146E-9   
  4160.0       4.0411243E-9   
  4165.0       4.0570964E-9   
  4170.0       3.902709E-9    
  4175.0       3.8056864E-9   
  4180.0       3.8456545E-9   
  4185.0       3.8914507E-9   
  4190.0       3.933802E-9    
  4195.0       3.8759085E-9   
  4200.0       3.8133683E-9   
  4205.0       3.903837E-9    
  4210.0       4.0116728E-9   
  4215.0       4.00408E-9     
  4220.0       3.9001393E-9   
  4225.0       3.7205987E-9   
  4230.0       3.7697814E-9   
  4235.0       3.8120933E-9   
  4240.0       3.837683E-9    
  4245.0       3.8382817E-9   
  4250.0       3.831714E-9    
  4255.0       3.846679E-9    
  4260.0       3.839804E-9    
  4265.0       3.8476453E-9   
  4270.0       3.7378074E-9   
  4275.0       3.7356993E-9   
  4280.0       3.7674095E-9   
  4285.0       3.6626295E-9   
  4290.0       3.5229657E-9   
  4295.0       3.3598138E-9   
  4300.0       3.1029797E-9   
  4305.0       3.0122902E-9   
  4310.0       3.2000744E-9   
  4315.0       3.6129635E-9   
  4320.0       3.7888532E-9   
