# velocity(km/s)	mass(Msun)
1.152248946934960472e+01 1.191000000000000059e+00
3.851898496958369389e+00 1.120999999999999996e+00
5.097124304164738717e+00 1.008999999999999897e+00
5.927274842302319158e+00 9.569999999999999618e-01
7.504560864763718975e+00 1.112000000000000099e+00
3.785486453907363380e+00 1.060000000000000053e+00
4.615636992044942488e+00 1.094999999999999973e+00
1.022745462985498044e+01 1.209000000000000075e+00
5.362772476368764529e+00 1.028000000000000025e+00
5.678229680861044848e+00 1.032999999999999918e+00
1.726713119326165113e+00 1.163999999999999924e+00
9.563334199344916797e+00 1.014000000000000012e+00
4.532621938231184977e+00 1.030999999999999917e+00
5.030712261113732708e+00 1.080999999999999961e+00
7.471354843238214860e-01 1.187999999999999945e+00
5.977083874590571888e+00 1.243999999999999995e+00
6.691013337388891813e+00 9.739999999999999769e-01
1.034367570519424007e+01 1.106999999999999984e+00
3.503235270940586510e+00 1.044000000000000039e+00
2.158391399157706836e+00 1.161999999999999922e+00
3.619456346279847470e+00 9.869999999999999885e-01
3.503235270940586510e+00 1.100999999999999979e+00
4.399797852129172071e+00 9.959999999999999964e-01
1.397973506223684304e+01 1.102000000000000091e+00
9.795776350023437828e+00 1.028999999999999915e+00
