GC	Amount of BSs	V_d	Cluster Mass	Central Density	Core Relaxation	
NGC 3201	25	4.36	-7.45	2.71	8.61	
NGC 4590	22	3.6	-7.37	2.57	8.45	
NGC 4833	49	6.05	-8.17	3	8.87	
NGC 5286	22	9.07	-8.74	4.1	8.4	
NGC 5927	31	6.93	-7.81	4.09	8.39	
NGC 6101	18	2.77	-6.94	1.65	9.21	
NGC 6121	16	5.14	-7.19	3.64	7.9	
NGC 6171	28	4.28	-7.12	3.08	8.06	
NGC 6218	52	5.22	-7.31	3.23	8.19	
NGC 6254	45	5.37	-7.48	3.54	8.21	
NGC 6304	29	6.15	-7.3	4.49	7.36	
NGC 6341	31	8.22	-8.21	4.3	7.96	
NGC 6352	28	3.19	-6.47	3.17	8.46	
NGC 6362	39	2.89	-6.95	2.29	8.8	
NGC 6366	8	2.89	-5.74	2.39	8.74	
NGC 6388	71	19.13	-9.41	5.37	7.72	
NGC 6541	45	8.45	-8.52	4.65	7.55	
NGC 6584	18	5	-7.69	3.33	8.13	
NGC 6624	25	7.19	-7.49	5.3	6.61	
NGC 6637	32	7.31	-7.64	3.84	8.15	
NGC 6652	15	5.86	-6.66	4.48	7.05	
NGC 6656	32	8.27	-8.5	3.63	8.53	
NGC 6681	13	5.08	-7.12	5.82	5.82	
NGC 6717	15	3.72	-5.66	4.58	6.52	
NGC 6723	24	5.69	-7.83	2.79	8.79	
NGC 6809	18	4.03	-7.57	2.22	8.9	
NGC 6838	25	3.27	-5.61	2.83	7.54	
NGC 7089	22	9.04	-9.03	4	8.48	
NGC 7099	26	5.15	-7.45	5.01	6.37	
						
