#ecnum Mcl[Msun] <m_coll[MSun]> <m_Maxwellian[MSun]> sigma_coll[MSun] sigma_Maxwellian[MSun]
1 2.239140E+05 6.442763E+00 3.816146E+00 3.694894E+00 1.624729E+00
1 3.715210E+05 1.297141E+01 7.932944E+00 9.415653E+00 3.378478E+00
1 1.562670E+05 4.499949E+00 2.880061E+00 2.642581E+00 1.226181E+00
1 1.479040E+05 4.497643E+00 2.801076E+00 2.661408E+00 1.192761E+00
1 3.021850E+05 6.828349E+00 4.370162E+00 3.967073E+00 1.860846E+00
1 5.030040E+05 7.044487E+00 4.472148E+00 4.465102E+00 1.904425E+00
1 8.462020E+04 1.876950E+00 1.194912E+00 9.763692E-01 5.086254E-01
1 5.107380E+05 1.147054E+01 7.788915E+00 6.760751E+00 3.314872E+00
1 1.014800E+05 2.229867E+00 1.672459E+00 1.217715E+00 7.116706E-01
1 2.973760E+05 8.636496E+00 5.501355E+00 5.085103E+00 2.341325E+00
1 9.780980E+04 8.829850E+00 5.736381E+00 4.571750E+00 2.440919E+00
1 1.306020E+05 2.063310E+00 1.264944E+00 1.303528E+00 5.384303E-01
1 8.950480E+04 3.250845E+00 2.167872E+00 1.786494E+00 9.226235E-01
1 1.270290E+05 5.198371E+00 3.429459E+00 3.166200E+00 1.459623E+00
1 1.403090E+05 5.545376E+00 3.601711E+00 3.236552E+00 1.532836E+00
1 1.609380E+05 6.525568E+00 4.246315E+00 3.897593E+00 1.807329E+00
1 1.897740E+05 8.142619E+00 3.727439E+00 6.313303E+00 1.587353E+00
1 3.228580E+05 9.092976E+00 4.859010E+00 5.837809E+00 2.068279E+00
1 8.052890E+04 3.866854E+00 2.490705E+00 2.296221E+00 1.059912E+00
1 1.096010E+05 5.591055E+00 3.501670E+00 3.089922E+00 1.490299E+00
1 4.207380E+04 1.882139E+00 1.173003E+00 9.962837E-01 4.991776E-01
1 1.259930E+06 2.229131E+01 1.363791E+01 1.368838E+01 5.803605E+00
1 1.293850E+04 1.997488E+00 1.097829E+00 1.170775E+00 4.671543E-01
1 4.168390E+05 1.200040E+01 6.701905E+00 8.782772E+00 2.852352E+00
1 1.961840E+05 6.742154E+00 3.661348E+00 4.047315E+00 1.558052E+00
1 2.272500E+05 1.140670E+01 6.086185E+00 1.127862E+01 2.591484E+00
1 2.365660E+05 8.848664E+00 4.950581E+00 5.119213E+00 2.106853E+00
1 8.931380E+04 7.053533E+00 3.587625E+00 4.894431E+00 1.527330E+00
1 4.093630E+05 9.597611E+00 4.374194E+00 5.616290E+00 1.861943E+00
1 1.151370E+05 8.835562E+00 4.283745E+00 1.015472E+01 1.824867E+00
1 3.125230E+04 4.291541E+00 1.949351E+00 3.654061E+00 8.301621E-01
1 2.389570E+05 6.201642E+00 3.737223E+00 3.456021E+00 1.590364E+00
1 1.744080E+05 4.843112E+00 3.370886E+00 2.662562E+00 1.434199E+00
1 3.435770E+04 3.415342E+00 1.618016E+00 2.034036E+00 6.886958E-01
1 1.577210E+05 5.830674E+00 3.152414E+00 3.658463E+00 1.341669E+00
1 1.087100E+05 3.720303E+00 2.328967E+00 2.158188E+00 9.911265E-01
1 6.678730E+05 1.122046E+01 7.228955E+00 6.911015E+00 3.076849E+00
1 1.597620E+05 8.496614E+00 4.179029E+00 8.755898E+00 1.780517E+00
2 2.239140E+05 7.804090E+00 3.404486E+00 4.704451E+00 1.449267E+00
2 3.715210E+05 1.750010E+01 7.324937E+00 1.385880E+01 3.119194E+00
2 1.562670E+05 6.100567E+00 2.990704E+00 3.705029E+00 1.273209E+00
2 1.479040E+05 6.210055E+00 2.799722E+00 3.831966E+00 1.191981E+00
2 3.021850E+05 8.545071E+00 4.643414E+00 5.217254E+00 1.976627E+00
2 5.030040E+05 9.141024E+00 4.640242E+00 6.123563E+00 1.975191E+00
2 8.462020E+04 2.384296E+00 1.224800E+00 1.248823E+00 5.211924E-01
2 5.107380E+05 1.338673E+01 7.667716E+00 8.537764E+00 3.264203E+00
2 1.014800E+05 3.031023E+00 1.597697E+00 1.625800E+00 6.800490E-01
2 2.973760E+05 1.036654E+01 5.390248E+00 6.806650E+00 2.293959E+00
2 9.780980E+04 9.743142E+00 6.078554E+00 5.360075E+00 2.586206E+00
2 1.306020E+05 3.371695E+00 1.159260E+00 2.184534E+00 4.935300E-01
2 8.950480E+04 4.323784E+00 2.139533E+00 2.369700E+00 9.106446E-01
2 1.270290E+05 7.093990E+00 3.187206E+00 4.602150E+00 1.357126E+00
2 1.403090E+05 7.098766E+00 3.837002E+00 4.260417E+00 1.633382E+00
2 1.609380E+05 8.178163E+00 4.414331E+00 5.136844E+00 1.879339E+00
2 1.897740E+05 1.144604E+01 4.827756E+00 8.659986E+00 2.056056E+00
2 3.228580E+05 1.159804E+01 5.069291E+00 8.169241E+00 2.158876E+00
2 8.052890E+04 5.366290E+00 2.313040E+00 3.216059E+00 9.848152E-01
2 1.096010E+05 6.966326E+00 2.764922E+00 4.062543E+00 1.177117E+00
2 4.207380E+04 2.455652E+00 1.149131E+00 1.276833E+00 4.891292E-01
2 1.259930E+06 2.723377E+01 1.437619E+01 2.095140E+01 6.120027E+00
2 1.293850E+04 3.093953E+00 1.438836E+00 1.783916E+00 6.124279E-01
2 4.168390E+05 1.602444E+01 6.710098E+00 1.260576E+01 2.857224E+00
2 1.961840E+05 8.791403E+00 3.505395E+00 5.623960E+00 1.492250E+00
2 2.272500E+05 1.687272E+01 4.570734E+00 1.582019E+01 1.947336E+00
2 2.365660E+05 1.041050E+01 5.316552E+00 6.901329E+00 2.262949E+00
2 8.931380E+04 9.738734E+00 4.413827E+00 6.908081E+00 1.878933E+00
2 4.093630E+05 1.144260E+01 4.794390E+00 7.325875E+00 2.040874E+00
2 1.151370E+05 1.460810E+01 3.123514E+00 1.469456E+01 1.331866E+00
2 3.125230E+04 7.287997E+00 2.539694E+00 5.575913E+00 1.081730E+00
2 2.389570E+05 7.592981E+00 2.917337E+00 4.399957E+00 1.242230E+00
2 1.744080E+05 5.906574E+00 3.023352E+00 3.248574E+00 1.287138E+00
2 3.435770E+04 4.873494E+00 2.352211E+00 2.923962E+00 1.001585E+00
2 1.577210E+05 7.955064E+00 2.645165E+00 5.107703E+00 1.126746E+00
2 1.087100E+05 4.961065E+00 2.021808E+00 2.864938E+00 8.609669E-01
2 6.678730E+05 1.378539E+01 6.868383E+00 9.512878E+00 2.925251E+00
2 1.597620E+05 1.398584E+01 4.021066E+00 1.329611E+01 1.713979E+00
