# WAVELENGTH   FLUX           
  1150.0       1.5352133E-11  
  1155.0       2.1715327E-11  
  1160.0       1.684666E-11   
  1165.0       3.3615099E-12  
  1170.0       1.7602537E-13  
  1175.0       6.202367E-13   
  1180.0       4.119436E-12   
  1185.0       3.0872345E-12  
  1190.0       4.103073E-13   
  1195.0       4.837767E-13   
  1200.0       4.586691E-12   
  1205.0       1.782735E-11   
  1210.0       5.7475115E-11  
  1215.0       9.0815196E-11  
  1220.0       6.062962E-11   
  1225.0       1.6014171E-11  
  1230.0       2.5804068E-12  
  1235.0       1.4434282E-12  
  1240.0       1.2596421E-12  
  1245.0       8.831358E-13   
  1250.0       6.8634866E-13  
  1255.0       6.805856E-13   
  1260.0       5.821812E-13   
  1265.0       8.244046E-14   
  1270.0       4.0643497E-14  
  1275.0       3.9328393E-13  
  1280.0       1.0768062E-12  
  1285.0       9.999321E-13   
  1290.0       3.279423E-13   
  1295.0       2.6920656E-13  
  1300.0       5.203445E-13   
  1305.0       1.4431592E-13  
  1310.0       5.020463E-13   
  1315.0       9.348714E-13   
  1320.0       7.783879E-13   
  1325.0       5.595672E-13   
  1330.0       7.0809325E-13  
  1335.0       6.0341776E-13  
  1340.0       2.5611409E-13  
  1345.0       8.9101876E-14  
  1350.0       3.1199595E-13  
  1355.0       5.831546E-13   
  1360.0       7.18957E-13    
  1365.0       8.374929E-13   
  1370.0       6.1802473E-13  
  1375.0       8.3242934E-13  
  1380.0       1.0468008E-12  
  1385.0       8.9837453E-13  
  1390.0       4.2186E-13     
  1395.0       7.8173937E-13  
  1400.0       1.1563816E-12  
  1405.0       1.4709876E-12  
  1410.0       1.2040852E-12  
  1415.0       4.092189E-13   
  1420.0       1.0488659E-13  
  1425.0       5.1687436E-13  
  1430.0       9.771394E-13   
  1435.0       8.9616465E-13  
  1440.0       1.464601E-12   
  1445.0       2.550429E-12   
  1450.0       2.1557138E-12  
  1455.0       1.1530578E-12  
  1460.0       6.0125223E-13  
  1465.0       7.542423E-13   
  1470.0       1.2481508E-12  
  1475.0       1.4777585E-12  
  1480.0       1.4487045E-12  
  1485.0       1.144207E-12   
  1490.0       1.1637825E-12  
  1495.0       1.2762029E-12  
  1500.0       1.2761217E-12  
  1505.0       1.2324906E-12  
  1510.0       1.2163146E-12  
  1515.0       1.1910765E-12  
  1520.0       1.1020394E-12  
  1525.0       1.158421E-12   
  1530.0       1.3915309E-12  
  1535.0       1.6649769E-12  
  1540.0       1.9243244E-12  
  1545.0       2.6151644E-12  
  1550.0       2.5297798E-12  
  1555.0       1.738742E-12   
  1560.0       1.9281532E-12  
  1565.0       2.0521315E-12  
  1570.0       2.1035222E-12  
  1575.0       2.3129137E-12  
