# velocity(km/s)	mass(Msun)
8.462249632515579378e+00 1.155999999999999917e+00
8.672057474644065067e+00 9.350000000000000533e-01
2.482726131853744800e+00 1.328999999999999959e+00
7.063530684992342934e+00 1.062999999999999945e+00
2.640082013450108533e+01 9.899999999999999911e-01
1.416202934367276711e+01 1.018000000000000016e+00
1.702940318609539716e+01 1.074000000000000066e+00
2.349847831839037227e+01 9.619999999999999662e-01
1.965200121270146738e+01 1.020000000000000018e+00
1.063026400117659520e+01 1.102999999999999980e+00
1.765882671248085600e+01 1.195999999999999952e+00
1.800850644936166489e+01 1.131000000000000005e+00
8.776961395708305247e+00 1.020000000000000018e+00
1.709933913347156320e+01 9.429999999999999494e-01
1.633004371233377938e+01 1.026000000000000023e+00
1.122471955387396747e+01 9.859999999999999876e-01
1.591042802807681156e+01 1.012999999999999901e+00
1.713430710715964311e+00 1.100999999999999979e+00
1.202898294869983076e+01 1.016999999999999904e+00
8.846897343084469512e+00 9.040000000000000258e-01
9.721096685286489958e+00 9.330000000000000515e-01
2.161020773923399574e+01 1.157999999999999918e+00
2.395306197633542311e+01 9.709999999999999742e-01
7.902762053506283912e+00 1.280000000000000027e+00
4.475900632074355734e+00 1.096000000000000085e+00
8.322377737763254402e+00 9.270000000000000462e-01
1.916244958106833707e+01 9.739999999999999769e-01
1.905754566000409156e+01 9.120000000000000329e-01
7.902762053506283912e+00 9.569999999999999618e-01
4.615772526826678934e+00 1.024999999999999911e+00
1.258847052770912356e+01 1.000999999999999890e+00
1.174923915919518613e+01 1.431000000000000050e+00
4.231124816257789689e+00 1.205999999999999961e+00
2.230956721299561707e+01 1.165000000000000036e+00
1.384731758048004124e+01 1.193999999999999950e+00
1.528100450169135627e+01 1.080999999999999961e+00
5.420035921652540445e+00 9.829999999999999849e-01
9.826000606350733690e+00 1.044999999999999929e+00
